lat,lon,EventNumber
-80.227,169.21,3396652
-80.2035,178.54,3396655
-80.05,169.254,3396731
-80.2242,169.21,3396778
-80.2242,169.21,3396790
-80.2323,178.565,3396814
-80.2228,169.209,3396827
-80.1978,178.531,3396830
-80.1225,169.24,3396835
-80.2159,169.208,3397198
-80.1156,169.238,3397199
-80.1128,169.237,3397290
-80.0155,165.593,3397203
-80.1156,169.238,3397206
-80.0403,169.25,3397207
-80.2159,169.208,3397210
-80.1393,169.231,3397226
-80.2145,169.208,3397238
-80.2145,169.208,3397246
-80.1521,178.478,3397251
-80.1142,169.237,3397255
-80.2145,169.208,3397262
-80.0775,176.505,3397264
-80.1142,169.237,3397271
-80.1142,169.237,3397275
-80.1865,178.513,3397278
-80.0626,169.245,3397280
-80.2131,169.207,3397288
-80.1128,169.237,3397296
-80.0757,176.502,3397301
-80.1846,178.51,3397302
-80.0701,163.121,3397308
-80.1128,169.237,3397323
-80.2131,169.207,3397330
-80.2131,169.207,3397338
-80.0414,176.475,3397341
-80.1114,169.236,3397348
-80.1114,169.236,3397358
-80.1616,169.224,3397380
-80.1616,169.224,3397384
-80.085,169.24,3397462
-80.1114,169.236,3397407
-80.2172,178.541,3397410
-80.2104,169.207,3397418
-80.11,169.236,3397419
-80.11,169.236,3397420
-80.11,169.236,3397422
-80.2104,169.207,3397428
-80.085,169.24,3397430
-80.0721,176.498,3397432
-80.0599,169.244,3397439
-80.11,169.236,3397440
-80.2104,169.207,3397442
-80.11,169.236,3397444
-80.2104,169.207,3397472
-80.1087,169.235,3397487
-80.0097,165.592,3397491
-80.0334,169.247,3397500
-80.1588,169.223,3397508
-80.209,169.207,3397510
-80.1839,169.215,3397515
-80.209,169.207,3397516
-80.2333,176.606,3397523
-80.1588,169.223,3397531
-80.0836,169.24,3397541
-80.1445,178.466,3397542
-80.1825,169.215,3397548
-80.1073,169.235,3397554
-80.1073,169.235,3397568
-80.2115,178.532,3397569
-80.032,169.246,3397574
-80.2076,169.206,3397578
-80.2115,178.532,3397584
-80.1575,169.222,3397591
-80.1073,169.235,3397598
-80.066,163.123,3397599
-80.0805,169.239,3397635
-80.1056,169.234,3397637
-80.2115,178.532,3397603
-80.0042,161.381,3397607
-80.2076,169.206,3397608
-80.2059,169.206,3397619
-80.1056,169.234,3397622
-80.1056,169.234,3397630
-80.2059,169.206,3397658
-80.2059,169.206,3397659
-80.0989,176.515,3397660
-80.1307,169.229,3397663
-80.1307,169.229,3397670
-80.2059,169.206,3397674
-80.1056,169.234,3397677
-80.129,169.228,3397682
-80.1039,169.234,3397690
-80.2042,169.206,3397691
-80.1039,169.234,3397692
-80.2042,169.206,3397696
-80.2025,169.206,3397791
-80.1791,169.214,3397704
-80.2042,169.206,3397708
-80.1541,169.222,3397711
-80.1541,169.222,3397722
-80.2042,169.206,3397726
-80.1541,169.222,3397732
-80.002,161.383,3397734
-80.1039,169.234,3397736
-80.2042,169.206,3397738
-80.1039,169.234,3397743
-80.2025,169.206,3397744
-80.1774,169.214,3397764
-80.2025,169.206,3397766
-80.1022,169.233,3397770
-80.1273,169.228,3397772
-80.1022,169.233,3397775
-80.0887,165.541,3397781
-80.1273,169.228,3397786
-80.208,176.58,3398279
-80.1143,169.225,3398280
-80.1895,169.204,3398282
-80.0892,169.23,3398283
-80.0892,169.23,3398289
-80.1895,169.204,3398294
-80.1394,169.219,3398296
-80.1895,169.204,3398299
-80.0892,169.23,3398310
-80.1895,169.204,3398316
-80.1383,169.218,3398330
-80.1885,169.204,3398343
-80.1853,178.494,3398346
-80.2136,169.195,3398348
-80.1885,169.204,3398350
-80.1853,178.494,3398353
-80.0881,169.229,3398354
-80.0631,169.233,3398378
-80.1885,169.204,3398388
-80.1853,178.494,3398389
-80.1885,169.204,3398390
-80.0792,169.225,3398823
-80.1795,169.201,3398875
-80.1781,169.201,3398887
-80.0777,169.225,3398889
-80.0494,169.216,3400178
-80.0748,169.212,3400194
-80.0904,169.201,3401271
-80.1406,169.19,3401282
-80.1656,169.183,3401287
-80.1667,169.182,3401292
-80.195,169.171,3401510
-80.0946,169.197,3401525
-80.1197,169.192,3401538
-80.0946,169.197,3401546
-80.0946,169.197,3401554
-80.0946,169.197,3401555
-80.0946,169.197,3401558
-80.196,169.17,3401611
-80.196,169.17,3401622
-80.0717,169.2,3401646
-80.0583,163.09,3401649
-80.0215,169.206,3401693
-80.1283,178.403,3401712
-80.1982,169.168,3401733
-80.0476,169.203,3401750
-80.1984,178.478,3401751
-80.0978,169.195,3401755
-80.1731,169.176,3401764
-80.0978,169.195,3401770
-80.0727,169.199,3401775
-80.1982,169.168,3401784
-80.1252,169.188,3401990
-80.075,169.197,3402010
-80.1007,169.192,3402062
-80.1257,169.187,3402080
-80.2016,169.165,3402118
-80.1765,169.173,3402130
-80.2031,178.483,3402138
-80.2016,169.165,3402154
-80.1012,169.192,3402156
-80.1269,169.186,3402190
-80.1018,169.191,3402193
-80.1018,169.191,3402217
-80.2022,169.164,3402218
-80.1018,169.191,3402220
-80.0773,169.195,3402228
-80.0773,169.195,3402229
-80.0522,169.199,3402232
-80.2028,169.163,3402242
-80.1702,178.451,3402247
-80.0271,169.201,3402248
-80.2278,169.154,3402259
-80.1024,169.191,3402260
-80.1024,169.191,3402263
-80.0522,169.199,3402264
-80.1024,169.191,3402279
-80.1024,169.191,3402292
-80.1024,169.191,3402295
-80.1281,169.185,3402364
-80.1036,169.189,3402383
-80.0779,169.195,3402302
-80.0779,169.195,3402314
-80.103,169.19,3402315
-80.2259,176.558,3402324
-80.005,165.548,3402329
-80.2034,169.163,3402332
-80.2054,178.486,3402335
-80.0528,169.198,3402355
-80.2039,169.162,3402400
-80.1036,169.189,3402403
-80.1036,169.189,3402406
-80.0634,163.079,3402409
-80.1789,169.17,3402420
-80.1036,169.189,3402424
-80.2266,176.559,3402442
-80.0791,169.193,3402453
-80.1794,169.17,3402470
-80.2045,169.161,3402478
-80.1042,169.189,3402480
-80.1042,169.189,3402483
-80.1794,169.17,3402500
-80.054,169.197,3402509
-80.207,178.488,3402512
-80.2078,178.489,3402526
-80.0546,169.197,3402531
-80.1048,169.188,3402532
-80.1299,169.183,3402539
-80.0797,169.193,3402560
-80.2281,176.559,3402579
-80.0984,176.472,3402608
-80.2057,169.16,3402611
-80.2057,169.16,3402632
-80.1054,169.188,3402634
-80.2086,178.49,3402649
-80.0467,163.093,3402670
-80.2063,169.159,3402672
-80.2063,169.159,3402679
-80.131,169.182,3402720
-80.0307,169.198,3402714
-80.1316,169.181,3402726
-80.0814,169.191,3402735
-80.0814,169.191,3402763
-80.2304,176.56,3402776
-80.1316,169.181,3402784
-80.1476,169.163,3405623
-80.1727,169.156,3405627
-80.0405,163.079,3405631
-80.0471,169.182,3405634
-80.0471,169.182,3405638
-80.0267,169.18,3406734
-80.0441,169.177,3407236
-80.1408,169.159,3407424
-80.0905,169.17,3407440
-80.1347,169.159,3407817
-80.1347,169.159,3407822
-80.1347,169.159,3407827
-80.0364,169.174,3408238
-80.1369,169.157,3408243
-80.0615,169.172,3408246
-80.0113,169.176,3408263
-80.1369,169.157,3408268
-80.0867,169.168,3408271
-80.0867,169.168,3408278
-80.0364,169.174,3408283
-80.0364,169.174,3408286
-80.138,176.528,3408304
-80.0368,169.174,3408318
-80.138,169.156,3408457
-80.1129,169.162,3408471
-80.0375,169.174,3408476
-80.1132,178.463,3408490
-80.138,169.156,3408510
-80.1631,169.15,3408516
-80.0881,169.167,3408549
