lat,lon,EventNumber
-78.6202,-98.3689,21638138
-78.6145,-97.5581,21638775
-78.7445,-99.1928,21638776
-78.6628,-97.469,21639537
-78.7674,-99.1607,21639670
-78.8483,-100.378,21640158
-78.7851,-99.767,21640382
-78.4279,-115.041,21640529
-79.0577,-114.55,21641542
-79.4357,-114.523,21641543
-79.6709,-114.43,21642442
-79.4324,-114.538,21643155
-78.8844,-99.6086,21643156
-82.1422,-106.429,21643541
-77.7545,-114.269,21644224
-79.2309,-114.583,21645300
-79.3471,-114.57,21645301
-77.2441,-112.677,21645463
-81.3858,-101.989,21646249
-81.9584,-109.596,21646250
-79.3427,-115.465,21646266
-79.4778,-114.542,21646267
-79.3817,-114.571,21646501
-78.8517,-99.7176,21647279
-79.3831,-114.578,21647527
-79.1506,-114.597,21647528
-79.1517,-114.603,21648488
-79.729,-114.44,21649554
-79.4115,-114.582,21650541
-78.9171,-99.6173,21650542
-78.8344,-98.5763,21650638
-79.3464,-114.599,21651368
-79.5787,-114.528,21651369
-79.6357,-114.5,21651504
-79.6693,-114.486,21652404
-79.6693,-114.486,21652405
-79.6024,-114.524,21652818
-78.7963,-99.8807,21653498
-79.3689,-114.606,21653612
-79.3689,-114.606,21653613
-80.8027,-112.857,21654044
-79.3782,-114.608,21654417
-79.3693,-114.61,21654439
-79.5458,-114.557,21654545
-79.566,-114.551,21654601
-79.5036,-114.574,21655264
-79.5326,-114.563,21655265
-78.618,-98.5419,21655294
-77.3572,-112.897,21655733
-79.2927,-114.618,21655840
-79.1443,-114.619,21655992
-79.2312,-114.621,21655991
-78.6959,-98.9516,21661278
-78.666,-99.0038,21661628
-79.4827,-114.612,21662647
-79.5748,-114.609,21663501
-79.6162,-114.594,21663662
-79.6652,-114.586,21664441
-78.5455,-97.6006,21665659
-79.4878,-114.667,21665763
-79.5965,-115.52,21666807
-79.5971,-114.614,21666896
-76.3238,-111.238,21667946
-79.8808,-114.398,21668122
-78.7638,-98.9074,21668811
-79.3406,-114.622,21669596
-78.6494,-99.1034,21669666
-79.8425,-114.406,21668914
-79.7807,-114.435,21669766
-76.611,-111.258,21671249
-78.7283,-99.0154,21672127
-79.5116,-114.626,21672580
